Unnamed: 0,REPORTING_DATE,into_default_flag,PD
265,8/31/2008,0,5.2900000000000005e-05
266,6/30/2014,0,0.000100056
267,12/31/2018,0,5.6200000000000004e-05
268,8/31/2019,0,5.3299999999999995e-05
269,7/31/2017,0,6.14e-05
270,1/31/2009,0,8.55e-05
271,11/30/2011,0,5.6000000000000006e-05
272,7/31/2017,0,6.2e-05
273,9/30/2013,0,6.28e-05
274,6/30/2014,0,8.73e-05
275,11/30/2018,0,5.9999999999999995e-05
276,7/31/2019,0,6.0299999999999995e-05
277,6/30/2018,0,5.17e-05
278,1/31/2016,0,6.0899999999999996e-05
279,8/31/2012,0,5.3e-05
280,3/31/2019,0,5.24e-05
281,4/30/2019,0,5.28e-05
282,10/31/2012,0,8.73e-05
283,7/31/2011,0,6.29e-05
284,9/30/2019,0,6.11e-05
285,9/30/2019,0,0.00017659700000000002
286,8/31/2018,0,5.11e-05
287,10/31/2018,0,5.24e-05
288,6/30/2011,0,5.42e-05
289,8/31/2010,0,5e-05
290,4/30/2017,0,8.499999999999999e-05
291,7/31/2016,0,5.22e-05
292,10/31/2009,0,0.00017691400000000002
293,2/28/2018,0,6.08e-05
294,10/31/2013,0,6.0899999999999996e-05
295,1/31/2019,0,5.99e-05
296,11/30/2014,0,5.31e-05
297,10/31/2008,0,6.1e-05
298,6/30/2010,0,5.3e-05
299,12/31/2018,0,8.65e-05
300,12/31/2016,0,8.540000000000002e-05
301,5/31/2013,0,6.13e-05
302,9/30/2016,0,5.3400000000000004e-05
303,5/31/2016,0,6.14e-05
304,3/31/2013,0,8.48e-05
305,4/30/2017,0,5.91e-05
306,3/31/2008,0,6.22e-05
307,12/31/2008,0,5.3400000000000004e-05
308,8/31/2008,0,8.75e-05
309,5/31/2017,0,6.0899999999999996e-05
310,2/28/2018,0,5.3200000000000006e-05
311,8/31/2018,0,5.3400000000000004e-05
312,1/31/2012,0,5.3e-05
313,11/30/2018,0,6.21e-05
314,12/31/2015,0,5.6399999999999995e-05
315,7/31/2016,0,0.000100644
316,2/29/2016,0,5.21e-05
317,3/31/2019,0,5.0600000000000003e-05
318,1/31/2016,0,9.96e-05
319,1/31/2016,0,5.31e-05
320,6/30/2014,0,6.159999999999999e-05
321,6/30/2009,0,5.31e-05
322,10/31/2015,0,5.3200000000000006e-05
323,7/31/2010,0,8.420000000000001e-05
324,6/30/2014,0,6.0599999999999996e-05
325,5/31/2018,0,5.91e-05
326,4/30/2015,0,5.56e-05
327,1/31/2016,0,5.2600000000000005e-05
328,10/31/2011,0,8.73e-05
329,10/31/2012,0,6.05e-05
330,1/31/2017,0,6.1e-05
331,2/28/2015,0,8.41e-05
332,8/31/2018,0,5.3299999999999995e-05
333,5/31/2019,0,6.3e-05
334,6/30/2017,0,6.0599999999999996e-05
335,9/30/2016,0,0.00010306200000000001
336,5/31/2010,0,5.22e-05
337,2/28/2019,0,6.1e-05
338,5/31/2016,0,5.17e-05
339,12/31/2012,0,6.159999999999999e-05
340,1/31/2009,0,8.640000000000001e-05
341,1/31/2010,0,5.02e-05
342,10/31/2014,0,5.2600000000000005e-05
343,11/30/2017,0,5.429999999999999e-05
344,2/28/2015,0,6.01e-05
345,10/31/2017,0,5.21e-05
346,3/31/2019,0,5.24e-05
347,5/31/2014,0,6.24e-05
348,1/31/2018,0,5.28e-05
349,1/31/2018,0,5.3200000000000006e-05
350,3/31/2019,0,5e-05
351,2/28/2015,0,4.970000000000001e-05
352,6/30/2017,0,9.81e-05
353,5/31/2018,0,5.16e-05
354,1/31/2019,0,5.920000000000001e-05
355,1/31/2015,0,5.3200000000000006e-05
356,7/31/2018,0,5.16e-05
357,4/30/2011,0,5.1e-05
358,2/28/2014,0,6.159999999999999e-05
359,10/31/2007,0,8.690000000000001e-05
360,6/30/2019,0,5.8899999999999995e-05
361,4/30/2014,0,5.22e-05
362,1/31/2016,0,5.3299999999999995e-05
363,5/31/2019,0,6.13e-05
364,4/30/2018,0,5.36e-05
365,6/30/2015,0,6.22e-05
366,9/30/2014,0,8.49e-05
367,9/30/2019,0,6.4e-05
368,12/31/2017,0,5.6200000000000004e-05
369,8/31/2019,0,5.2900000000000005e-05
370,7/31/2014,0,5.2300000000000004e-05
371,7/31/2007,0,5.3400000000000004e-05
372,3/31/2019,0,5.12e-05
373,7/31/2011,0,6.14e-05
374,6/30/2017,0,5.88e-05
375,8/31/2015,0,8.740000000000001e-05
376,2/28/2017,0,5.79e-05
377,4/30/2009,0,5.3299999999999995e-05
378,8/31/2012,0,5.17e-05
379,12/31/2014,0,8.63e-05
380,12/31/2016,0,5.24e-05
381,11/30/2012,0,8.669999999999999e-05
382,12/31/2018,0,0.00017670099999999997
383,2/28/2011,0,8.68e-05
384,9/30/2014,0,6.0599999999999996e-05
385,10/31/2018,0,5.8599999999999995e-05
386,5/31/2019,0,6.0599999999999996e-05
387,6/30/2012,0,6.14e-05
388,12/31/2009,0,5.24e-05
389,2/28/2013,0,5.05e-05
390,11/30/2014,0,5.920000000000001e-05
391,12/31/2018,0,5.56e-05
